rt,response,task,item_id,entity_type,entity,correct,intuitive,question,prefix,population_correct,population_intuitive,population_ratio,display_correct_first,task_type,trial_type,trial_index,time_elapsed,subject_id,study_id,session_id,rng_seed,response_correct,response_position,rt_zscore
6755,f,capitals,32,state,New York,Albany,New York,What is the capital of New York?,The capital of New York is,0.103,7.937,77.05825243,False,critical,html-keyboard-response,41,693137,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,0,left,-0.24839622825111482
35693,f,capitals,33,state,North Carolina,Raleigh,Charlotte,What is the capital of North Carolina?,The capital of North Carolina is,0.494,0.935,1.892712551,True,critical,html-keyboard-response,43,729834,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,left,-0.03901753882013982
20776,f,capitals,31,state,New Mexico,Santa Fe,Albuquerque,What is the capital of New Mexico?,The capital of New Mexico is,0.0901,0.557,6.182019978,True,critical,html-keyboard-response,45,751623,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,left,-0.14694835332846293
17391,f,capitals,11,country,United Arab Emirates,Abu Dhabi,Dubai,What is the capital of the United Arab Emirates?,The capital of the United Arab Emirates is,1.6,3.1,1.9375,True,critical,html-keyboard-response,47,770029,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,left,-0.17144026236584806
21392,f,capitals,2,country,Brazil,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,True,critical,html-keyboard-response,49,792427,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,left,-0.14249133236331396
34488,f,capitals,15,state,Connecticut,Hartford,Bridgeport,What is the capital of Connecticut?,The capital of Connecticut is,0.119,0.148,1.243697479,True,critical,html-keyboard-response,51,827924,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,left,-0.047736224312030236
28842,f,capitals,34,state,North Dakota,Bismarck,Fargo,What is the capital of North Dakota?,The capital of North Dakota is,0.076,0.138,1.815789474,True,critical,html-keyboard-response,53,857778,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,left,-0.08858742621013256
25716,j,capitals,35,state,Oregon,Salem,Portland,What is the capital of Oregon?,The capital of Oregon is,0.178,0.615,3.45505618,False,critical,html-keyboard-response,55,884507,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,right,-0.11120536052353458
20035,j,capitals,1,country,Australia,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,False,critical,html-keyboard-response,57,905554,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,right,-0.15230980224920218
26685,j,capitals,37,state,South Dakota,Pierre,Sioux Falls,What is the capital of South Dakota?,The capital of South Dakota is,0.0138,0.215,15.57971014,False,critical,html-keyboard-response,59,933254,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,right,-0.10419423501179864
17311,f,capitals,26,state,Montana,Helena,Billings,What is the capital of Montana?,The capital of Montana is,0.0359,0.123,3.426183844,True,critical,html-keyboard-response,61,951580,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,left,-0.17201909625742584
10584,f,capitals,23,state,Maryland,Annapolis,Baltimore,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,True,critical,html-keyboard-response,63,963177,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,left,-0.220691791115473
23628,j,capitals,12,state,Alabama,Montgomery,Birmingham,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,False,critical,html-keyboard-response,65,987822,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,right,-0.12631292509371483
15137,j,capitals,28,state,Nevada,Carson City,Las Vegas,What is the capital of Nevada?,The capital of Nevada is,0.0576,0.67,11.63194444,False,critical,html-keyboard-response,67,1003972,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,right,-0.1877489072610522
26835,j,capitals,19,state,Kansas,Topeka,Wichita,What is the capital of Kansas?,The capital of Kansas is,0.125,0.395,3.16,False,critical,html-keyboard-response,69,1031821,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,right,-0.10310892146509029
44783,f,capitals,24,state,Michigan,Lansing,Detroit,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,True,critical,html-keyboard-response,71,1077609,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,left,0.02675246211038623
14843,j,capitals,27,state,Nebraska,Lincoln,Omaha,What is the capital of Nebraska?,The capital of Nebraska is,0.297,0.477,1.606060606,False,critical,html-keyboard-response,73,1093464,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,right,-0.18987612181260055
13785,j,capitals,21,state,Louisiana,Baton Rouge,New Orleans,What is the capital of Louisiana?,The capital of Louisiana is,0.215,0.351,1.63255814,False,critical,html-keyboard-response,75,1108257,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,right,-0.1975312000287168
15113,f,capitals,16,state,Delaware,Dover,Wilmington,What is the capital of Delaware?,The capital of Delaware is,0.0403,0.0722,1.791563275,True,critical,html-keyboard-response,77,1124373,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,left,-0.18792255742852554
16749,f,capitals,39,state,Vermont,Montpelier,Burlington,What is the capital of Vermont?,The capital of Vermont is,0.0079,0.0444,5.620253165,True,critical,html-keyboard-response,79,1142134,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,left,-0.17608540434575978
14653,j,capitals,5,country,Morrocco,Rabat,Marrakesh,What is the capital of Morrocco?,The capital of Morrocco is,2.02,1.085,0.5371287129,False,critical,html-keyboard-response,81,1157799,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,right,-0.1912508523050978
12874,f,capitals,13,state,Alaska,Juneau,Anchorage,What is the capital of Alaska?,The capital of Alaska is,0.0311,0.283,9.099678457,True,critical,html-keyboard-response,83,1171682,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,left,-0.20412267096905884
20596,j,capitals,18,state,Illinois,Springfield,Chicago,What is the capital of Illinois?,The capital of Illinois is,0.111,2.612,23.53153153,False,critical,html-keyboard-response,85,1193291,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,right,-0.14825072958451296
18069,j,capitals,42,state,Wisconsin,Madison,Milwaukee,What is the capital of Wisconsin?,The capital of Wisconsin is,0.284,0.551,1.940140845,False,critical,html-keyboard-response,87,1212369,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,right,-0.1665346451347263
10285,f,capitals,6,country,New Zealand,Wellington,Auckland,What is the capital of New Zealand?,The capital of New Zealand is,0.428,1.711,3.997663551,True,critical,html-keyboard-response,89,1223666,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,left,-0.222855182785245
8637,j,capitals,38,state,Texas,Austin,Houston,What is the capital of Texas?,The capital of Texas is,0.989,2.324,2.349848332,False,critical,html-keyboard-response,91,1233308,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,right,-0.2347791609517474
13426,f,capitals,7,country,Pakistan,Islamabad,Karachi,What is the capital of Pakistan?,The capital of Pakistan is,1.3,18.1,13.92307692,True,critical,html-keyboard-response,95,2162655,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,left,-0.20012871711717212
14971,j,capitals,41,state,Washington,Olympia,Seattle,What is the capital of Washington?,The capital of Washington is,0.0558,0.765,13.70967742,False,critical,html-keyboard-response,97,2178640,subject_32,67d993866d1d7516d87e97de,67dafbe1bb0ae255ffe1b774,0.509360713732427,1,right,-0.18894998758607612
32465,f,capitals,32,state,New York,Albany,New York,What is the capital of New York?,The capital of New York is,0.103,7.937,77.05825243,True,critical,html-keyboard-response,7,83923,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,left,0.7984728723592798
2512,f,capitals,10,country,Turkey,Ankara,Istanbul,What is the capital of Turkey?,The capital of Turkey is,5.55,16.24,2.926126126,False,critical,html-keyboard-response,9,87446,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,0,left,-1.3197549299393623
22317,f,capitals,40,state,Virginia,Richmond,Virginia Beach,What is the capital of Virginia?,The capital of Virginia is,0.231,0.45,1.948051948,True,critical,html-keyboard-response,11,110784,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,left,0.08082269582515565
4650,f,capitals,4,country,India,New Delhi,Mumbai,What is the capital of India?,The capital of India is,0.206,22.1,107.2815534,True,critical,html-keyboard-response,13,116439,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,left,-1.1685590216392088
28611,f,capitals,16,state,Delaware,Dover,Wilmington,What is the capital of Delaware?,The capital of Delaware is,0.0403,0.0722,1.791563275,True,critical,html-keyboard-response,15,146070,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,left,0.5259242144599385
21906,j,capitals,21,state,Louisiana,Baton Rouge,New Orleans,What is the capital of Louisiana?,The capital of Louisiana is,0.215,0.351,1.63255814,False,critical,html-keyboard-response,19,238055,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,right,0.05175743936521034
21819,j,capitals,34,state,North Dakota,Bismarck,Fargo,What is the capital of North Dakota?,The capital of North Dakota is,0.076,0.138,1.815789474,False,critical,html-keyboard-response,21,260880,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,right,0.045604939822594184
19748,j,capitals,38,state,Texas,Austin,Houston,What is the capital of Texas?,The capital of Texas is,0.989,2.324,2.349848332,False,critical,html-keyboard-response,23,281643,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,right,-0.10085283664588936
9199,j,capitals,5,country,Morrocco,Rabat,Marrakesh,What is the capital of Morrocco?,The capital of Morrocco is,2.02,1.085,0.5371287129,False,critical,html-keyboard-response,25,291904,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,right,-0.8468610857844856
25773,f,capitals,37,state,South Dakota,Pierre,Sioux Falls,What is the capital of South Dakota?,The capital of South Dakota is,0.0138,0.215,15.57971014,True,critical,html-keyboard-response,27,318695,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,left,0.32522543627666656
20976,f,capitals,27,state,Nebraska,Lincoln,Omaha,What is the capital of Nebraska?,The capital of Nebraska is,0.297,0.477,1.606060606,True,critical,html-keyboard-response,29,340684,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,left,-0.01401065919378999
17837,f,capitals,41,state,Washington,Olympia,Seattle,What is the capital of Washington?,The capital of Washington is,0.0558,0.765,13.70967742,True,critical,html-keyboard-response,31,359527,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,left,-0.23599567142680294
17527,j,capitals,18,state,Illinois,Springfield,Chicago,What is the capital of Illinois?,The capital of Illinois is,0.111,2.612,23.53153153,False,critical,html-keyboard-response,33,378070,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,right,-0.25791837094646974
21778,f,capitals,24,state,Michigan,Lansing,Detroit,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,True,critical,html-keyboard-response,37,461439,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,left,0.042705486015154386
26827,j,capitals,17,state,Florida,Tallahassee,Jacksonville,What is the capital of Florida?,The capital of Florida is,0.205,1.008,4.917073171,False,critical,html-keyboard-response,39,489278,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,right,0.39976261464353363
23950,j,capitals,13,state,Alaska,Juneau,Anchorage,What is the capital of Alaska?,The capital of Alaska is,0.0311,0.283,9.099678457,False,critical,html-keyboard-response,41,514247,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,right,0.19630581942391645
39242,j,capitals,29,state,New Hampshire,Concord,Manchester,What is the capital of New Hampshire?,The capital of New Hampshire is,0.0449,0.115,2.561247216,False,critical,html-keyboard-response,43,554500,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,right,1.2777313712134144
24669,f,capitals,28,state,Nevada,Carson City,Las Vegas,What is the capital of Nevada?,The capital of Nevada is,0.0576,0.67,11.63194444,True,critical,html-keyboard-response,45,580183,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,left,0.2471523386324339
2955,j,capitals,8,country,South Africa,Pretoria,Johannesburg,What is the capital of South Africa?,The capital of South Africa is,3.0,6.4,2.133333333,True,critical,html-keyboard-response,47,584144,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,0,right,-1.2884266851419028
4864,j,capitals,39,state,Vermont,Montpelier,Burlington,What is the capital of Vermont?,The capital of Vermont is,0.0079,0.0444,5.620253165,True,critical,html-keyboard-response,49,590022,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,0,right,-1.153425287132084
1769,j,capitals,3,country,Canada,Ottawa,Toronto,What is the capital of Canada?,The capital of Canada is,1.465,6.491,4.430716724,False,critical,html-keyboard-response,51,592812,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,right,-1.3722986904010153
2336,j,capitals,1,country,Australia,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,critical,html-keyboard-response,53,596165,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,0,right,-1.3322013657956893
34855,j,capitals,36,state,Pennsylvania,Harrisburg,Philadelphia,What is the capital of Pennsylvania?,The capital of Pennsylvania is,0.05,1.517,30.34,False,critical,html-keyboard-response,55,632033,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,right,0.9674898138173559
24733,j,capitals,26,state,Montana,Helena,Billings,What is the capital of Montana?,The capital of Montana is,0.0359,0.123,3.426183844,False,critical,html-keyboard-response,57,657784,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,right,0.2516783153074619
21336,f,capitals,20,state,Kentucky,Frankfort,Louisville,What is the capital of Kentucky?,The capital of Kentucky is,0.0281,0.617,21.95729537,True,critical,html-keyboard-response,59,680142,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,left,0.011447959603242398
23462,f,capitals,35,state,Oregon,Salem,Portland,What is the capital of Oregon?,The capital of Oregon is,0.178,0.615,3.45505618,True,critical,html-keyboard-response,61,704615,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,left,0.16179524727682812
21803,j,capitals,22,state,Maine,Augusta,Portland,What is the capital of Maine?,The capital of Maine is,0.0192,0.0695,3.619791667,False,critical,html-keyboard-response,63,727427,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,right,0.044473445653837186
22707,j,capitals,33,state,North Carolina,Raleigh,Charlotte,What is the capital of North Carolina?,The capital of North Carolina is,0.494,0.935,1.892712551,False,critical,html-keyboard-response,65,751148,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,right,0.10840286618860741
32480,f,capitals,19,state,Kansas,Topeka,Wichita,What is the capital of Kansas?,The capital of Kansas is,0.125,0.395,3.16,True,critical,html-keyboard-response,67,784637,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,left,0.7995336481424894
10197,j,capitals,14,state,California,Sacramento,Los Angeles,What is the capital of California?,The capital of California is,0.527,3.8,7.210626186,True,critical,html-keyboard-response,69,795850,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,0,right,-0.776284137008268
3474,f,capitals,2,country,Brazil,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,True,critical,html-keyboard-response,71,800335,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,left,-1.251723843042848
3592,j,capitals,12,state,Alabama,Montgomery,Birmingham,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,False,critical,html-keyboard-response,73,804941,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,right,-1.243379073548265
37948,f,capitals,25,state,Minnesota,St. Paul,Minneapolis,What is the capital of Minnesota?,The capital of Minnesota is,0.299,0.421,1.408026756,True,critical,html-keyboard-response,75,843903,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,left,1.1862217803151924
37330,f,capitals,23,state,Maryland,Annapolis,Baltimore,What is the capital of Maryland?,The capital of Maryland is,0.0403,0.553,13.72208437,True,critical,html-keyboard-response,77,882237,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,left,1.1425178180469535
12673,j,capitals,11,country,United Arab Emirates,Abu Dhabi,Dubai,What is the capital of the United Arab Emirates?,The capital of the United Arab Emirates is,1.6,3.1,1.9375,False,critical,html-keyboard-response,79,895922,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,right,-0.6011854143931231
15373,j,capitals,15,state,Connecticut,Hartford,Bridgeport,What is the capital of Connecticut?,The capital of Connecticut is,0.119,0.148,1.243697479,False,critical,html-keyboard-response,81,912308,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,right,-0.41024577341538015
17799,j,capitals,9,country,Switzerland,Bern,Zurich,What is the capital of Switzerland?,The capital of Switzerland is,0.448,1.455,3.247767857,False,critical,html-keyboard-response,83,931118,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,right,-0.2386829700776008
15805,j,capitals,31,state,New Mexico,Santa Fe,Albuquerque,What is the capital of New Mexico?,The capital of New Mexico is,0.0901,0.557,6.182019978,False,critical,html-keyboard-response,85,947938,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,right,-0.3796954308589413
14681,j,capitals,42,state,Wisconsin,Madison,Milwaukee,What is the capital of Wisconsin?,The capital of Wisconsin is,0.284,0.551,1.940140845,False,critical,html-keyboard-response,87,963637,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,right,-0.45918289621412023
17717,j,capitals,7,country,Pakistan,Islamabad,Karachi,What is the capital of Pakistan?,The capital of Pakistan is,1.3,18.1,13.92307692,False,critical,html-keyboard-response,89,982370,subject_23,67d993866d1d7516d87e97de,67f5586f366e42610fa784ed,0.5385001664151741,1,right,-0.24448187769248042
2741,j,capitals,9,country,Switzerland,Bern,Zurich,What is the capital of Switzerland?,The capital of Switzerland is,0.448,1.455,3.247767857,True,critical,html-keyboard-response,7,74907,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,0,right,-0.6717125100710294
3148,f,capitals,39,state,Vermont,Montpelier,Burlington,What is the capital of Vermont?,The capital of Vermont is,0.0079,0.0444,5.620253165,False,critical,html-keyboard-response,9,79070,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,0,left,-0.42773108881493793
2583,f,capitals,24,state,Michigan,Lansing,Detroit,What is the capital of Michigan?,The capital of Michigan is,0.112,0.63,5.625,False,critical,html-keyboard-response,11,82657,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,0,left,-0.7664276564063179
3257,j,capitals,15,state,Connecticut,Hartford,Bridgeport,What is the capital of Connecticut?,The capital of Connecticut is,0.119,0.148,1.243697479,False,critical,html-keyboard-response,13,86921,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,1,right,-0.36238962710261863
6692,f,capitals,26,state,Montana,Helena,Billings,What is the capital of Montana?,The capital of Montana is,0.0359,0.123,3.426183844,True,critical,html-keyboard-response,15,94620,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,1,left,1.696765611262674
1661,j,capitals,32,state,New York,Albany,New York,What is the capital of New York?,The capital of New York is,0.103,7.937,77.05825243,True,critical,html-keyboard-response,17,97297,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,0,right,-1.3191324976793308
2342,f,capitals,25,state,Minnesota,St. Paul,Minneapolis,What is the capital of Minnesota?,The capital of Minnesota is,0.299,0.421,1.408026756,False,critical,html-keyboard-response,19,100643,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,0,left,-0.9108982277152075
4610,f,capitals,22,state,Maine,Augusta,Portland,What is the capital of Maine?,The capital of Maine is,0.0192,0.0695,3.619791667,False,critical,html-keyboard-response,21,106270,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,0,left,0.44868374626222585
5658,j,capitals,30,state,New Jersey,Trenton,Newark,What is the capital of New Jersey?,The capital of New Jersey is,0.0898,0.306,3.407572383,True,critical,html-keyboard-response,23,112942,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,0,right,1.0769209194228742
4816,f,capitals,14,state,California,Sacramento,Los Angeles,What is the capital of California?,The capital of California is,0.527,3.8,7.210626186,True,critical,html-keyboard-response,25,118770,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,1,left,0.5721731142689945
7216,f,capitals,17,state,Florida,Tallahassee,Jacksonville,What is the capital of Florida?,The capital of Florida is,0.205,1.008,4.917073171,True,critical,html-keyboard-response,27,127002,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,1,left,2.010884197842998
2247,j,capitals,12,state,Alabama,Montgomery,Birmingham,What is the capital of Alabama?,The capital of Alabama is,0.192,0.194,1.010416667,False,critical,html-keyboard-response,29,130260,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,1,right,-0.9678472081066785
2586,j,capitals,10,country,Turkey,Ankara,Istanbul,What is the capital of Turkey?,The capital of Turkey is,5.55,16.24,2.926126126,True,critical,html-keyboard-response,31,133857,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,0,right,-0.7646292675518505
3603,j,capitals,4,country,India,New Delhi,Mumbai,What is the capital of India?,The capital of India is,0.206,22.1,107.2815534,True,critical,html-keyboard-response,33,138462,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,0,right,-0.15497544588736642
3003,j,capitals,16,state,Delaware,Dover,Wilmington,What is the capital of Delaware?,The capital of Delaware is,0.0403,0.0722,1.791563275,False,critical,html-keyboard-response,35,142479,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,1,right,-0.5146532167808673
3441,j,capitals,27,state,Nebraska,Lincoln,Omaha,What is the capital of Nebraska?,The capital of Nebraska is,0.297,0.477,1.606060606,True,critical,html-keyboard-response,37,146928,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,0,right,-0.2520884440286117
3162,f,capitals,5,country,Morrocco,Rabat,Marrakesh,What is the capital of Morrocco?,The capital of Morrocco is,2.02,1.085,0.5371287129,False,critical,html-keyboard-response,39,151105,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,0,left,-0.4193386074940896
1877,j,capitals,1,country,Australia,Canberra,Sydney,What is the capital of Australia?,The capital of Australia is,0.483,5.249,10.86749482,True,critical,html-keyboard-response,41,153988,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,0,right,-1.1896485001576707
5020,f,capitals,18,state,Illinois,Springfield,Chicago,What is the capital of Illinois?,The capital of Illinois is,0.111,2.612,23.53153153,True,critical,html-keyboard-response,43,160011,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,1,left,0.6944635563727848
2500,j,capitals,2,country,Brazil,Brasilia,Rio de Janeiro,What is the capital of Brazil?,The capital of Brazil is,4.99,13.923,2.790180361,False,critical,html-keyboard-response,45,163514,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,1,right,-0.8161830813799189
2398,f,capitals,29,state,New Hampshire,Concord,Manchester,What is the capital of New Hampshire?,The capital of New Hampshire is,0.0449,0.115,2.561247216,False,critical,html-keyboard-response,47,166921,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,0,left,-0.877328302431814
5172,j,capitals,6,country,New Zealand,Wellington,Auckland,What is the capital of New Zealand?,The capital of New Zealand is,0.428,1.711,3.997663551,False,critical,html-keyboard-response,49,173101,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,1,right,0.7855819249991384
2501,f,capitals,42,state,Wisconsin,Madison,Milwaukee,What is the capital of Wisconsin?,The capital of Wisconsin is,0.284,0.551,1.940140845,False,critical,html-keyboard-response,51,176618,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,0,left,-0.8155836184284297
3232,f,capitals,8,country,South Africa,Pretoria,Johannesburg,What is the capital of South Africa?,The capital of South Africa is,3.0,6.4,2.133333333,False,critical,html-keyboard-response,53,180866,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,0,left,-0.3773762008898478
3678,j,capitals,11,country,United Arab Emirates,Abu Dhabi,Dubai,What is the capital of the United Arab Emirates?,The capital of the United Arab Emirates is,1.6,3.1,1.9375,True,critical,html-keyboard-response,55,185546,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,0,right,-0.11001572452567883
7458,j,capitals,38,state,Texas,Austin,Houston,What is the capital of Texas?,The capital of Texas is,0.989,2.324,2.349848332,False,critical,html-keyboard-response,57,194012,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,1,right,2.155954232103377
3933,j,capitals,31,state,New Mexico,Santa Fe,Albuquerque,What is the capital of New Mexico?,The capital of New Mexico is,0.0901,0.557,6.182019978,True,critical,html-keyboard-response,59,198953,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,0,right,0.04284732810405905
5518,j,capitals,37,state,South Dakota,Pierre,Sioux Falls,What is the capital of South Dakota?,The capital of South Dakota is,0.0138,0.215,15.57971014,True,critical,html-keyboard-response,61,205478,subject_21,67d993866d1d7516d87e97de,67daf6047b0fa6851c20e25f,0.4049075367419206,0,right,0.9929961062143905
